ID_Obra,Title,ID_NumRevista,ID_Autor,ID_Complemento
Al Sr. D. R. P. Enviándole mis obras,1,9.0,J. Zorrilla,
La mujer piadosa (Fragmentos),1,10.0,J.M. Torres Caicedo,
Desvarío,1,11.0,José María de Ugarte,
"Soneto. ""¡Gloria y pobreza! El inmortal Quintana...""",1,12.0,Carolina Coronado,
Balada. La despedida de una hija,1,13.0,J. Nombela,
Un viaje a la Luna. Prólogo: La pesadilla de Mocquet,2,6.0,Alejandro Dumas,
En el álbum de la señora M…,2,9.0,J. Zorrilla,
La primavera,2,14.0,Mª del Pilar Sinués de Marco,
La perejilera,2,15.0,Antonio de Trueba,
Un viaje a la Luna. (Continuación),3,6.0,Alejandro Dumas,
Al señor Don B. M.,3,3.0,Emilia Serrano de Wilson,
A orillas del Manzanares. La súplica,3,4.0,Santiago Infante y Palacios,
Un viaje a la Luna. (Continuación),4,6.0,Alejandro Dumas,
Fragmentos de la Rosa de Alejandra,4,9.0,J. Zorrilla,
Gente morena,4,15.0,Antonio de Trueba,
Un viaje a la Luna. (Continuación),5,6.0,Alejandro Dumas,
"Al excmo. Sr. D. Agustín Esteban Collantes, en el día de su santo",5,4.0,Santiago Infante de Palacios,
"A la niña Margarita Aurora de Wilson y Serrano, el día de su cumpleaños",5,4.0,Santiago Infante de Palacios,
Costumbres del siglo XIX. I,7,16.0,José Marco,
Margarita. Novela bretona,7,3.0,No firma,
Los escondidos y la tapada. Fragmentos,7,9.0,José Zorrilla,
A mi apreciable amiga la Señora doña M. Del Pilar Sinués de Marco en su álbum,7,3.0,Em. Serrano de Wilson,
Costumbres del siglo XIX.II,8,16.0,José Marco,
Margarita. Novela bretona. (Continuación),8,3.0,No firma,
A la niña Margarita Aurora de Wilson y Serrano,8,14.0,María del Pilar Sinués de Marco,
A María,8,17.0,Tomás Infante,
A su Alteza Real el Príncipe de Asturias,9,3.0,Em. Serrano de Wilson,
Margarita. Novela bretona. (Conclusión),9,3.0,No firma,
El otoño,9,14.0,María del Pilar Sinués de Marco,
"Soneto. ""Aún eco tienen en el alma mía...""",9,18.0,Fernando José Gargollo,
Atentado contra SS. MM. II.,10,3.0,Emilia Serrano de Wilson,
"""El matrimonio de la Princesa real de Inglaterra [...]""- ""Hace algunos años que un banquero muy rico [...]""-""Varios periódicos franceses y del extranjero [...]""",10,3.0,No firma,
A la Poesía. Oda,10,19.0,Manuel García González,
A mi buen amigo el distinguido escritor don Alejandro Dumas en prueba de sincera amistad,10,3.0,Emilia Serrano de Wilson,
A la luna. Soneto,10,20.0,Federico Utrera,
Las apariencias engañan. Historia-cuento,11,3.0,No firma,
"""El viaje de SS. AA. [...]""-""El sábado a la una [...]""-""El príncipe Mirza-Ally-Kan-Bahadoor [...]""-""Habláse mucho en los círculos aristocrático de un matrimonio [...]""",11,3.0,Emilia Serrano de Wilson,
El invierno,11,14.0,María del Pilar Sinués de Marco,
La hada azul,12,21.0,Leon Gozlan,
"""El lunes 5 del corriente se ha inaugurado [...]""-""Vamos a contar una historia ocurrida en estos días de Pascua""-""Cuando Ismail, generalísimo del ejército otomano [...]""",12,3.0,Emilia Serrano de Wilson,
El navío Leviatán,12,8.0,Ángela Grassi,
Ayes del corazón,12,10.0,J. M. Torres Caicedo,
Carta de M. de Lamartine,13,22.0,Lamartine,
Introducción,13,5.0,Eugenio Guillemot,
Isabel II,13,3.0,E. S. de W.,
Hamlet,13,23.0,Jorge Sand,
"""Lo que cada lector pide [...]""-La trata de blancas-De la decadencia de las costumbres-""La Malibran recibía en Londres [...]""-""El gobierno del Brasil [...]""",13,5.0,Eugenio Guillemot,
"""Consignamos la acarta original qu enos ha dirigido M. de Lamartine [...]""",14,22.0,Lamartine,
Porvenir de la raza latina y de la Francia en el Nuevo-Mundo. Introducción,14,5.0,Barón Eug. Guillemot,
Confederación Argentina y república del Uruguay-Le Paraguay,14,5.0,Eug. Guillemot,
S. M. La emperatriz de los franceses,14,3.0,,
Cursos familiares de literatura. La pintura,14,22.0,A. de Lamartine,
El perro de Zurbarán,14,24.0,E. de Montlaur,
Serenatas. Introducción. (Fragmentos),14,9.0,José Zorrilla,
"Lo que viene a ser un periodista inglés-""Ha sucedido en los alrededores de Filadelfia [...]""-Máximas",14,5.0,Eug. Guillemot,
"Recuerdo. Un baile en el hotel de Ville, en 1859",15,25.0,A. A. de Orihuela,
Abertura del Paraguay y de los ríos,15,5.0,Eugenio Guillemot,
La Escma. Sra. Dª Gertrudis Gómez de Avellaneda,15,3.0,Emilia Serrano de Wilson,
El 20 de marzo,15,5.0,Barón Eug. Guillemot,
Cursos familiares de literatura. Leopoldo Robert,15,22.0,A. de Lamartine,
Leyenda pastoral,15,25.0,A. A. de Orihuela,
La dalia,15,18.0,Fernando José Gargollo,
"""Leemos en el Monitor  [...]""-""Según el 'Anuario diplomático de 1859' [...]""-""Hace algunas semanas que los diarios del Alto y del Bajo Rin [...]""-""He aquí la siguiente anécdota [...]""-""Un curioso ha dicho [...]""-""El matrimonio del hijo mayor [...]""-Savonnette a vilain",15,5.0,Eug. Guillemot,
Carta de Ramón de la Sagra,16,26.0,Ramón de la Sagra,
Artículo I. Los Estados-Unidos y el Paraguay,16,5.0,Barón Eug. Guillemot,
Costumbres andaluzas. Los dos marineros,16,25.0,A. A. de Orihuela,
Viaje por un vestido de boda,16,3.0,Emilia Serrano de Wilson,
SS. AA. II el príncipe y la princesa Napoleón,16,3.0,Emilia Serrano de Wilson,
El miércoles de ceniza,16,27.0,José Guell y Renté,
Cursos familiares de literatura. Leopoldo Robert. (Conclusión),16,22.0,A. de Lamartine,
"""Pues que en nuestros días se hacen tantos adelantos en la fotografía [...]""-""Acaba de llegar de San Petesburgo [...]""-""El Entreacto publica un acarta fechada en Génova [...]""",16,5.0,Eugenio Guillemot,
Memorándum especial por la guerra de Italia,17,5.0,Barón Eug. Guillemot,
Introducción,17,25.0,A. A. de Orihuela,
Pbro. D. Félix Varela,17,28.0,Ramón Zambrana,
Las flores de mayo,17,23.0,Jorge Sand,
A la catedral de Bron,17,3.0,Em. S. de Wilson,
,17,25.0,A. A. de Orihuela,
Viaje al rededpr de un vestido de boda. (Conclusiones),17,3.0,Emilia Serrano de Wilson,
Artículo II. Los Estados-Unidos y el Paraguay,17,5.0,Barón Eug. Guillemot,
Una de tantas,17,4.0,Santiago de Palacios,
"""Para que se vea cómo los principales intereses y amortización de la Deuda pública [...]""",17,5.0,Barón Eug. Guillemot,
Carta de M. Alejandro Dumas,18,6.0,Alexandre Dumas,
Carta del Sr. Guillemot,18,5.0,Barón Eug. Guillemot,
Napoleón III,18,5.0,M. Guillemot,
Víctor Manuel II,18,5.0,M. Guillemot,
El oso,18,25.0,A. A. de Orihuela,
Poesía. A mi amigo Mariano G. Manrique,18,25.0,A. A. de Orihuela,
Perfil inglés,18,29.0,Paul Féval,
La ostra,19,25.0,A. A. de Orihuela,
Poesía. A Napoleón III,19,25.0,A. A. de Orihuela,
A una tumba en el cementerio de Montmartre. (Fragmento),19,3.0,Emilia Serrano de Wilson,
Consideraciones sobre los vestidos,19,30.0,Mme. Malvina,
Gran batalla de Solferino,19,5.0,Barón Eug. Guillemot,
Memorándum especial por la guerra de Italia,20,5.0,Barón Eug. Guillemot,
Batalla de Solferino. El emperador a la emperatriz,20,31.0,Napoleón,
